block_context,block_id,condition,elapsed_experiment_time,event,image_name,image_path,local_time,marker_code,psychopy_flip_time,role,session_id,stimulus_category,subject_id,trial_id
object_context,2,standard_object,91.57548909999969,STANDARD_OBJECT,object_28.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_28.jpg,91.57548290000159,33029,97.15200220000042,standard,20260515_124304,object,S001,39
object_context,2,standard_object,93.80834429999959,STANDARD_OBJECT,object_07.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_07.jpg,93.8083314000014,33029,99.38508709999951,standard,20260515_124304,object,S001,40
object_context,2,deviant_club,96.05825280000136,DEVIANT_CLUB,nosee.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\nosee.jpg,96.05824500000017,33030,101.6349594000003,deviant,20260515_124304,club,S001,41
object_context,2,standard_object,98.2915740999997,STANDARD_OBJECT,object_12.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_12.jpg,98.29156860000148,33029,103.86771600000066,standard,20260515_124304,object,S001,42
object_context,2,standard_object,100.54131870000128,STANDARD_OBJECT,object_21.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_21.jpg,100.54130700000132,33029,106.11793919999946,standard,20260515_124304,object,S001,43
object_context,2,standard_object,102.77485680000063,STANDARD_OBJECT,object_03.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_03.jpg,102.77485060000072,33029,108.35160059999907,standard,20260515_124304,object,S001,44
object_context,2,standard_object,105.00833179999972,STANDARD_OBJECT,object_27.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_27.jpg,105.00832440000158,33029,110.58499970000048,standard,20260515_124304,object,S001,45
object_context,2,standard_object,107.25762680000116,STANDARD_OBJECT,object_10.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_10.jpg,107.25762060000125,33029,112.83439510000062,standard,20260515_124304,object,S001,46
object_context,2,deviant_club,109.49047980000068,DEVIANT_CLUB,boka.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\boka.jpg,109.49047430000064,33030,115.06723640000018,deviant,20260515_124304,club,S001,47
object_context,2,standard_object,111.7243096000002,STANDARD_OBJECT,object_01.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_01.jpg,111.72430340000028,33029,117.30089389999921,standard,20260515_124304,object,S001,48
object_context,2,standard_object,113.9749910999999,STANDARD_OBJECT,object_30.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_30.jpg,113.97497750000002,33029,119.55129569999917,standard,20260515_124304,object,S001,49
object_context,2,deviant_club,116.22522310000022,DEVIANT_CLUB,arse.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\arse.jpg,116.22520729999997,33030,121.80140290000054,deviant,20260515_124304,club,S001,50
object_context,2,standard_object,118.49046389999967,STANDARD_OBJECT,object_25.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_25.jpg,118.49046010000166,33029,124.06719599999997,standard,20260515_124304,object,S001,51
object_context,2,standard_object,120.74072830000114,STANDARD_OBJECT,object_04.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_04.jpg,120.74071690000164,33029,126.3173053999999,standard,20260515_124304,object,S001,52
object_context,2,deviant_club,122.974280800001,DEVIANT_CLUB,barca.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\barca.jpg,122.97427400000015,33030,128.55064420000053,deviant,20260515_124304,club,S001,53
object_context,2,standard_object,125.22473770000033,STANDARD_OBJECT,object_06.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_06.jpg,125.22473440000067,33029,130.80109640000046,standard,20260515_124304,object,S001,54
object_context,2,standard_object,127.4743569000002,STANDARD_OBJECT,object_11.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_11.jpg,127.47434340000109,33029,133.05082279999988,standard,20260515_124304,object,S001,55
object_context,2,deviant_club,129.70695929999965,DEVIANT_CLUB,manu.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\manu.jpg,129.70695310000156,33030,135.2837586000005,deviant,20260515_124304,club,S001,56
object_context,2,standard_object,131.95691629999965,STANDARD_OBJECT,object_08.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_08.jpg,131.95690990000003,33029,137.53362790000028,standard,20260515_124304,object,S001,57
object_context,2,standard_object,134.20743589999984,STANDARD_OBJECT,object_05.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_05.jpg,134.20742950000022,33029,139.78401309999936,standard,20260515_124304,object,S001,58
object_context,2,standard_object,136.47439380000105,STANDARD_OBJECT,object_09.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_09.jpg,136.47438750000038,33029,142.05087389999971,standard,20260515_124304,object,S001,59
object_context,2,standard_object,138.7570379000008,STANDARD_OBJECT,object_16.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_16.jpg,138.7570308000013,33029,144.33346410000013,standard,20260515_124304,object,S001,60
,,,138.85369680000076,EXP_END,,,138.8536875000009,33031,,,20260515_124304,,S001,
